objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
morrow01,img_2410,,,Honey Witch,iPhone,2024,Fairyloot Special Edition ,books,"forest City, NC",46.725562,81.8651,Megan Morrow,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow02,img_2414,,,Sorcery of Thorns,iPhone,2022,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow03,img_2412,,,The Bone Smith,iPhone,2024,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow04,img_2402,,,A Feather So Black,iPhone,2023,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow05,img_2411,,,The Teller of Small Fortunes,iPhone,2025,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow06,img_2412,,,The Starlight Heir,iPhone,2025,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow07,img_2404,,,Iron & Embers,iPhone,2025,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow08,img_2406,,,The Wren in the Holly Library,iPhone,2024,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow10,img_2405,,,The Half King,iPhone,2024,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow11,img_2407,,,Firebird,iPhone,2025,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
morrow12,img_2408,,,Inked in Blood,iPhone,2024,Fairyloot Special Edition ,books,"Forest City, NC",35.334,81.8651,Megan Morrow,,Image;StillImage,image/jpeg,eng,Private (Since it is my books),
